SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
184064,USD,2018,FY,2019-01-14,2019-01-14,610389.0,610389.0,1563000.0,-1002000.0,561000.0,-69993000.0,-50617000.0,-19376000.0,,-69432000,395000.0,395000.0,-69037000,3294000.0,-65743000,302000.0,-65441000,0.0,-65441000,-74161000
184064,USD,2019,FY,2020-03-12,2021-03-30,998654.0,998654.0,5652000.0,-2479000.0,3173000.0,-96566000.0,-80169000.0,-16397000.0,,-93393000,900000.0,151000.0,-92493000,,-92493000,,-92493000,,-92493000,-92493000
184064,USD,2020,FY,2021-03-30,2022-03-30,998654.0,998654.0,10126000.0,-4424000.0,5702000.0,-47808000.0,-36276000.0,-11532000.0,,-42106000,172000.0,-182000.0,-41934000,-920000.0,-42854000,,-42854000,,-42854000,-42854000
184064,USD,2021,FY,2022-03-30,2023-03-27,1551173.0,1574696.0,9404000.0,-4316000.0,5088000.0,-37466000.0,-23284000.0,-14182000.0,,-32378000,89000.0,-127000.0,-32289000,2102000.0,-30187000,,-30187000,,-30187000,-30187000
184064,USD,2022,FY,2023-03-27,2023-03-27,6853169.0,7665190.0,814000.0,-616000.0,198000.0,-26075000.0,-15027000.0,-11048000.0,,-25877000,72000.0,-11000.0,-25805000,17972000.0,-7833000,,-7833000,,-7833000,-7833000
345674,USD,2018,FY,2019-02-13,2021-02-09,218643000.0,218643000.0,3326997000.0,-2149554000.0,1177443000.0,-1109924000.0,-134071000.0,,-916318000.0,67519000,-45231000.0,-45981000.0,22288000,-389696000.0,-367408000,45987000.0,-321421000,,-321421000,-321421000
345674,USD,2019,FY,2020-02-14,2022-02-16,203039000.0,203039000.0,2470685000.0,-1510143000.0,960542000.0,-1219990000.0,-133513000.0,,-1003873000.0,-259448000,-68802000.0,-69191000.0,-328250000,-202128000.0,-530378000,104675000.0,-425703000,,-425703000,-425703000
345674,USD,2020,FY,2021-02-09,2023-02-13,188013000.0,188013000.0,1124249000.0,-691083000.0,433166000.0,-817370000.0,-97611000.0,,-670910000.0,-384204000,-38760000.0,-39516000.0,-422964000,-508054000.0,-931018000,127326000.0,-803692000,,-803692000,-803692000
345674,USD,2021,FY,2022-02-16,2023-02-13,188965000.0,188965000.0,1357081000.0,-939409000.0,417672000.0,-983234000.0,-92382000.0,,-849178000.0,-565562000,-42031000.0,-41756000.0,-607593000,-112188000.0,-719781000,62702000.0,-657079000,2534000.0,-654545000,-654545000
345674,USD,2022,FY,2023-02-13,2023-02-13,215935000.0,219496000.0,2647592000.0,-1613565000.0,1034027000.0,-641792000.0,-116589000.0,,-483945000.0,392235000,-43169000.0,-39896000.0,349066000,-181204000.0,167862000,-13204000.0,154658000,,154658000,154658000
11795096,USD,2018,FY,2019-03-12,2021-03-10,22364515.0,22364515.0,30925000.0,,,-73194000.0,-13697000.0,-59497000.0,,-42269000,2546000.0,2566000.0,-39723000,,-39723000,799000.0,-38924000,,-38924000,-38924000
11795096,USD,2019,FY,2020-03-10,2022-02-28,25894024.0,25894024.0,231000.0,,,-80752000.0,-15749000.0,-65003000.0,,-80521000,2643000.0,2644000.0,-77878000,,-77878000,691000.0,-77187000,,-77187000,-77187000
